Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,Winner,Constituency,State,District,Year,House,Comment
Sukhbir Singh Jaunapuria,BJP,1,12th Pass,66,1420625967,16319048,No,TONK-SAWAI MADHOPUR,RAJASTHAN,,2024,Lok Sabha,No Comment
Vijendra,Aazad Samaj Party (Kanshi Ram),16,Post Graduate,47,12187000,1500000,No,TONK-SAWAI MADHOPUR,RAJASTHAN,,2024,Lok Sabha,No Comment
Dalpat Ram Garasia,BSP,0,8th Pass,65,821500,0,No,UDAIPUR (ST),RAJASTHAN,,2024,Lok Sabha,No Comment
Dr. Savita Kumari Aha,IND,0,Post Graduate,34,2100000,0,No,UDAIPUR (ST),RAJASTHAN,,2024,Lok Sabha,No Comment
Kanji Lal Damo,IND,0,8th Pass,64,1202954,0,No,UDAIPUR (ST),RAJASTHAN,,2024,Lok Sabha,No Comment
Manna Lal Rawat,BJP,0,Doctorate,52,27125206,242000,No,UDAIPUR (ST),RAJASTHAN,,2024,Lok Sabha,No Comment
Prabhulal Meena,IND,0,8th Pass,42,550000,0,No,UDAIPUR (ST),RAJASTHAN,,2024,Lok Sabha,No Comment
Prakash Chand,Bharat Adivasi Party,0,12th Pass,30,181000,0,No,UDAIPUR (ST),RAJASTHAN,,2024,Lok Sabha,No Comment
Rajendra Kumar Meena,Indian Peoples Green Party,0,10th Pass,48,260000,0,No,UDAIPUR (ST),RAJASTHAN,,2024,Lok Sabha,No Comment
Tarachand Meena,INC,0,Graduate,59,41102489,412000,No,UDAIPUR (ST),RAJASTHAN,,2024,Lok Sabha,No Comment
Beena Ra,IND,0,Post Graduate,34,1385810,0,No,SIKKIM,SIKKIM,,2024,Lok Sabha,No Comment
Bharat Basnett,Citizen Action Party-Sikkim,0,10th Pass,62,128198138,0,No,SIKKIM,SIKKIM,,2024,Lok Sabha,No Comment
Dinesh Chandra Nepal,BJP,0,Post Graduate,61,145089640,0,No,SIKKIM,SIKKIM,,2024,Lok Sabha,No Comment
Gopal Chett,INC,0,10th Pass,49,12233814,0,No,SIKKIM,SIKKIM,,2024,Lok Sabha,No Comment
Indra Hang Subba,Sikkim Krantikari Morcha,0,Doctorate,35,14845772,5000000,No,SIKKIM,SIKKIM,,2024,Lok Sabha,No Comment
Kharga Bhadur Ra,Sikkim Republican Party,0,10th Pass,55,11835000,0,No,SIKKIM,SIKKIM,,2024,Lok Sabha,No Comment
Laten Tshering Sherpa,IND,0,5th Pass,37,852489,0,No,SIKKIM,SIKKIM,,2024,Lok Sabha,No Comment
Madhukar Dhakal,IND,0,Graduate Professional,36,600300,0,No,SIKKIM,SIKKIM,,2024,Lok Sabha,No Comment
Nawin Kiran Pradha,IND,0,Post Graduate,42,8260079,264528,No,SIKKIM,SIKKIM,,2024,Lok Sabha,No Comment
Prem Das Ra,Sikkim Democratic Front,0,Post Graduate,69,107159210,0,No,SIKKIM,SIKKIM,,2024,Lok Sabha,No Comment
Ravi Chandra Ra,IND,0,Others,34,7247110,0,No,SIKKIM,SIKKIM,,2024,Lok Sabha,No Comment
Rudra Mani Pradha,IND,0,Graduate,47,3694219,200000,No,SIKKIM,SIKKIM,,2024,Lok Sabha,No Comment
Sambhu Chett,IND,0,5th Pass,56,904925,0,No,SIKKIM,SIKKIM,,2024,Lok Sabha,No Comment
Shyamal Pal,IND,0,Graduate,68,255000,0,No,SIKKIM,SIKKIM,,2024,Lok Sabha,No Comment
A Jayachandra,IND,0,10th Pass,36,1694200,0,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
A Pala,IND,0,10th Pass,43,275000,0,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
D Janakirama,IND,0,12th Pass,42,170500,0,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
D Pandiya,BSP,0,Graduate Professional,55,4337824,0,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
Dr A V Narendra,IND,0,Graduate Professional,40,3690000,0,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
G Sudhaka,IND,0,10th Pass,33,127583,173419,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
Indu,Tamil Manila Murpokku Dravida Kazhagam,0,Graduate Professional,29,298000,0,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
K Balu,Pattali Makkal Katchi,1,Graduate Professional,53,79223947,10700940,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
K Maniganda,IND,0,10th Pass,45,165000,0,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
K Venkatesa,IND,0,12th Pass,45,491450,0,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
L Vijaya,AIADMK,0,12th Pass,44,119100198,99817008,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
M Balu,IND,0,12th Pass,36,419000,9000,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
M Thulasirama,IND,0,8th Pass,38,612000,400000,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
M Vijay,IND,0,Post Graduate,28,314000,112575,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
M Vijaya,IND,0,5th Pass,43,127000,0,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
N Suguma,IND,0,8th Pass,40,370000,0,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
R Vinoth,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,0,10th Pass,31,655539,226500,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
S Afshia Nas,Naam Tamilar Katchi,0,Post Graduate,40,3731400,1523000,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
S Jagathratchaka,DMK,2,10th Pass,76,534587828,6495000000,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
S Suresh Kuma,IND,0,Graduate Professional,41,37750000,11030830,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
Shanavas J,IND,0,Post Graduate,44,4150000,2000000,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
Shettu S,IND,0,Graduate Professional,50,5000,0,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
V Babu,United Republican Party of India,0,12th Pass,53,29000,0,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
V Krishnananda,Anna MGR Dravida Makkal Kalgam,1,Graduate Professional,42,175000,0,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
V Vinayagam,IND,0,Graduate Professional,37,1248976,0,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
Vijayan K,All India Jananayaka Makkal Kazhagam,0,Graduate,46,0,0,No,ARAKKONAM,TAMIL NADU,,2024,Lok Sabha,No Comment
Babu N,IND,0,5th Pass,36,956400,0,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
"Bakiyalakshmi, K.",Naam Tamilar Katchi,0,Graduate Professional,31,141550,1753080,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
Captain Settu M,Viro Ke Vir Indian Party,0,Graduate,62,9757000,0,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
D Dhara,IND,0,Post Graduate,34,52000,0,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
D Murugesa,IND,0,10th Pass,55,351942,0,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
Dr Ganesh Kumar A,Pattali Makkal Katchi,1,Doctorate,39,60349241,4864460,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
Durai M,BSP,0,Others,39,532000,0,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
"Durugan, M.",United Republican Party of India,0,Graduate,57,136000,0,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
E Gajendira,IND,0,10th Pass,49,380000,0,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
Ezhil Arasu M,IND,0,Post Graduate,40,1491750,0,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
"Ferozkhan, A.",IND,0,Post Graduate,43,81340000,178000000,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
G Dhamodhara,IND,0,5th Pass,48,1000,0,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
"Gajendran, G.V.",AIADMK,1,Graduate,47,162625536,64827493,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
"Ganesh Kumar, U.",IND,0,Graduate Professional,30,50000,0,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
J Gajendra,IND,0,10th Pass,55,941000,0,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
K Karvanna,IND,0,Post Graduate,36,370000,0,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
"Kottai Venkatesan, M.",IND,0,Graduate,35,834000,0,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
M Arul,IND,0,Post Graduate,30,50000,0,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
M Jaisanka,IND,0,8th Pass,42,40000,0,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
"Manavalan, A.",Anna MGR Dravida Makkal Kalgam,0,12th Pass,38,1435000,0,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
Mohmmad Siddiq M H,IND,0,Others,43,650000,0,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
N Seka,IND,2,Illiterate,42,4825000,4400700,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
Nagarajan P,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,0,10th Pass,46,713000,150000,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
P Ganesh,IND,0,8th Pass,33,17500,0,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
R Ellappa,IND,0,10th Pass,49,1604000,170000,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
Sakthivel A,Thakkam Katchi,0,Post Graduate,41,5353000,823209,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
"Senthil Kumar, D.",IND,0,Others,44,141500,0,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
Tharaniventhan M S,DMK,0,10th Pass,59,17161977,3563277,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
V Maniganda,IND,2,12th Pass,31,860000,0,No,ARANI,TAMIL NADU,,2024,Lok Sabha,No Comment
A.Selva Kuma,Thakkam Katchi,0,10th Pass,47,1226000,0,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
Agni Aalva,IND,0,10th Pass,43,698100,0,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
Anbazhagan.G,IND,0,Post Graduate,59,3991637,0,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
B. Parthasarathy,DMDK,3,10th Pass,58,19950375,1659676,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
B.Parthasarathy,IND,0,10th Pass,25,273000,0,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
C.S.Karna,Anti Corruption Dynamic Party,2,Graduate Professional,67,660000,920000,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
Dayanidhi Mara,DMK,4,Graduate,57,170770037,0,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
Dhayanidhi Suresh,IND,0,5th Pass,44,705153,0,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
Dilavar Al,Tipu Sultan Party,1,Graduate,48,465737,0,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
Dr.R.Karthikeya,Naam Tamilar Katchi,0,Post Graduate,36,51786055,8035514,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
G.Omprakash,IND,0,Graduate Professional,49,589000,0,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
J.Nagaraj,IND,0,10th Pass,45,402000,0,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
K.Chandraseka,Naadaalum Makkal Katchi,0,10th Pass,49,8996500,0,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
L.Kasinatha,IND,0,Graduate Professional,68,10700000,0,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
M.L.Rav,Desiya Makkal Sakthi Katchi,0,Post Graduate,60,13192283,5866188,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
 M.Nagaraj,IND,1,Graduate Professional,30,3221200,1700000,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
Manjunatha.R,IND,0,10th Pass,32,141208,372816,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
N.Rama,Tamilnadu Makkal Nalvazhvu Periyakkam,0,Others,54,2121500,0,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
P.Arjuna,IND,0,Post Graduate,53,6280732,400000,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
R.Minnal Raj,IND,0,12th Pass,29,88000,0,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
R.Vijay,IND,0,Graduate Professional,37,1620000,0,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
Ranjithkumar.S,IND,0,Graduate Professional,35,2090000,2000000,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
Ravi Balarama,IND,0,8th Pass,56,18512236,812456,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
S.Kandasamy,IND,0,10th Pass,59,115000,0,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
S.Sathish Kumar S/O S Sathiyanatha,IND,0,Graduate Professional,35,85000,0,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
S.Sathish Kumar S/O Sriramalu,IND,0,10th Pass,34,230000,0,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
Samara,BSP,0,Graduate Professional,37,1031000,0,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
Senthilkuma,Chennai Youth Party,0,Graduate Professional,46,50000,0,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
Udaya Kumar.V,IND,0,Graduate Professional,45,35000,0,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
V.V.Tamilarasa,IND,0,Graduate,37,270000,0,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
Vinoj,BJP,14,Graduate Professional,37,319589737,155055585,No,CHENNAI CENTRAL,TAMIL NADU,,2024,Lok Sabha,No Comment
A. Ajithkuma,Thakkam Katchi,0,Post Graduate,30,6121581,2046216,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Akshay,Naadaalum Makkal Katchi,0,Post Graduate,32,576023,1500000,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Amud,Naam Tamilar Katchi,0,Graduate Professional,44,76572916,9009489,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
B. Balamuruga,IND,0,Graduate,60,131559010,3118058,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
B. Zakir Hussa,IND,0,Graduate Professional,50,4300000,2000000,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
C. Senapath,IND,0,Post Graduate,45,16985523,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
C. Sridha,IND,0,Graduate Professional,41,1022500,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
D. Kabila,IND,0,Graduate Professional,33,83000,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
D. Srinivasa,IND,0,Graduate Professional,51,907000,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Dilli Ganesh. E,IND,0,Others,29,2229162,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Dr.Kalanidhi Veeraswamy,DMK,0,Post Graduate,54,610614066,383364472,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
E. Iqbal,BSP,0,5th Pass,40,1375000,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
J. Sebast,SUCI(C),0,10th Pass,47,1500,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
K. Sampath,IND,0,Graduate Professional,63,9022000,6400000,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
K.C.Jayaprakash,IND,0,Post Graduate,49,964353,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
K.Palaniappa,IND,0,Graduate Professional,51,1640000,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
M. Kolanj,IND,0,Literate,52,15500,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
M. Zion Raj,IND,0,8th Pass,41,81000,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Mathankumar. G,IND,0,8th Pass,34,360000,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Moorthy. V,IND,0,Post Graduate,42,6762720,1550000,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
P. Jayasela,IND,0,Post Graduate,39,793158,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
P. Marimuthu,IND,0,5th Pass,68,5342400,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
P. Umadev,IND,0,8th Pass,43,428000,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
R. Manoha,AIADMK,0,Post Graduate,57,524270718,91583478,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
R. Senthil Kuma,IND,0,10th Pass,53,36776,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
R.C. Paul Kanagaraj,BJP,0,Graduate Professional,59,168450796,59377000,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
R.Vinayagamoorthy,IND,0,12th Pass,33,570000,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
S. Ravikuma,Republican Party of India (Sivaraj),0,5th Pass,43,185000,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Sarah Fathima,IND,0,Post Graduate,44,190000,740000,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Sathish. B,IND,0,Post Graduate,43,853000,1164000,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Suriyamuthu,IND,0,10th Pass,49,500,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
T. Kaviyarasu,IND,0,Graduate Professional,44,847500,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
T. Manohara,IND,0,Others,65,4308000,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
U. Venkatesh,IND,0,10th Pass,29,27500,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
V.Madhan Moha,IND,0,10th Pass,32,986710,0,No,CHENNAI NORTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Azarudheen M,IND,0,Graduate Professional,35,3667683,0,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Babu A,IND,0,Graduate Professional,47,4490000,1650000,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Balaji G,Aravor Munnetra Kazhagam,0,Graduate Professional,37,1116050,515475,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Balaji R,IND,0,Graduate Professional,34,1802000,1313625,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Damodaran N V,National Maha Sabha Party,0,Graduate,49,7145000,5350000,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Davidsing I,IND,0,Post Graduate,55,82671519,3000000,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Dayalan R,IND,0,8th Pass,34,230500,0,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Devendran R,IND,0,Literate,59,0,0,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Dineshkumar B,IND,0,8th Pass,29,360000,0,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Dr.Jayavardhan J,AIADMK,3,Post Graduate,36,99065883,39938000,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Dr.Tamilisai Soundararaja,BJP,0,Graduate Professional,62,215403531,73476982,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Ellappan A.K.D,Mahathma Makkal Munnetra Kazhakam,0,Others,56,17500,0,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Jayaraman K,Desiya Makkal Sakthi Katchi,0,12th Pass,48,35361750,2575000,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Kanchana R,Tamizhaga Murpokku Makkal Katchi,0,Post Graduate,47,776700,1850000,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Kannan K,IND,0,Graduate Professional,52,1421300,0,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Karthikmurthy P,IND,0,Post Graduate,44,899000,0,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Kuttimani S,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,0,5th Pass,39,1170599,0,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Manimaran S,IND,0,Graduate Professional,48,6793050,400000,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Munuswamy M,Viro Ke Vir Indian Party,0,10th Pass,58,13153000,124682,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Murugan P,IND,0,8th Pass,45,470000,0,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Narayanaswamy N,Hardam Manavtawadi Rashtriya Dal,0,Graduate Professional,44,37500,0,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Parthiban S,IND,0,10th Pass,57,14270000,0,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Ponnudurai A,IND,0,Graduate,41,831000,0,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Prakash Robert G,BSP,0,Graduate,44,842800,564639,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Rajasekaran S,IND,0,Others,39,322000,0,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Ramesh Babu G,IND,0,Graduate Professional,53,3271000,0,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Ramesh E,IND,0,Graduate Professional,49,7616583,2000000,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Ramu M G,Jebamani Janata,0,10th Pass,58,50000,0,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Ravendran E,IND,0,Graduate Professional,47,17000,0,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Ravichandran R,IND,0,8th Pass,56,1477000,400000,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Ravikaran V P,IND,0,10th Pass,55,192000,0,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Satheesh Kumar P,IND,0,Doctorate,49,71955658,46325107,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Sathish J,IND,0,Post Graduate,33,2648500,0,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Sekar P,Thakkam Katchi,0,Graduate Professional,55,6811164,411140,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Sivakumar V,IND,0,Post Graduate,43,12622750,0,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Sumathy T,DMK,0,Doctorate,61,148658298,17199881,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Suresh V P,IND,0,Post Graduate,51,10705162,4500000,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Tamilchelvi S,Naam Tamilar Katchi,0,Doctorate,61,31739390,0,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Vijirathinam M,IND,0,Graduate Professional,40,24993600,4775000,No,CHENNAI SOUTH,TAMIL NADU,,2024,Lok Sabha,No Comment
Archunan M A T,IND,0,Post Graduate,66,3382000,0,No,CHIDAMBARAM (SC),TAMIL NADU,,2024,Lok Sabha,No Comment
Chandrahasan M,AIADMK,0,Post Graduate,71,67260993,3473112,No,CHIDAMBARAM (SC),TAMIL NADU,,2024,Lok Sabha,No Comment
Chinnadurai A,IND,0,Illiterate,59,352000,0,No,CHIDAMBARAM (SC),TAMIL NADU,,2024,Lok Sabha,No Comment
Dhamodharan S,Naadaalum Makkal Katchi,0,Post Graduate,42,72000,0,No,CHIDAMBARAM (SC),TAMIL NADU,,2024,Lok Sabha,No Comment
Elavarasan C,IND,0,10th Pass,34,362000,0,No,CHIDAMBARAM (SC),TAMIL NADU,,2024,Lok Sabha,No Comment
Jancirani R,Naam Tamilar Katchi,0,Post Graduate,41,4403841,2947210,No,CHIDAMBARAM (SC),TAMIL NADU,,2024,Lok Sabha,No Comment
Karthiyayini P,BJP,0,Post Graduate,41,20706337,2593876,No,CHIDAMBARAM (SC),TAMIL NADU,,2024,Lok Sabha,No Comment
Neelamegam K,BSP,0,12th Pass,60,327000,30000,No,CHIDAMBARAM (SC),TAMIL NADU,,2024,Lok Sabha,No Comment
Perumal S,IND,2,10th Pass,39,601000,0,No,CHIDAMBARAM (SC),TAMIL NADU,,2024,Lok Sabha,No Comment
Rajamanickam C,IND,0,5th Pass,63,1846000,0,No,CHIDAMBARAM (SC),TAMIL NADU,,2024,Lok Sabha,No Comment
Ratha G,IND,0,10th Pass,65,2187818,200000,No,CHIDAMBARAM (SC),TAMIL NADU,,2024,Lok Sabha,No Comment
Tamilvendhan P,IND,0,8th Pass,29,24000,0,No,CHIDAMBARAM (SC),TAMIL NADU,,2024,Lok Sabha,No Comment
Thirumaavalavan Thol,Viduthalai Chiruthaigal Katchi,7,Doctorate,61,24455903,83969,No,CHIDAMBARAM (SC),TAMIL NADU,,2024,Lok Sabha,No Comment
Vettrivel G,IND,0,Graduate,46,98000,0,No,CHIDAMBARAM (SC),TAMIL NADU,,2024,Lok Sabha,No Comment
Anandhakumar S,Rashtriya Samaj Paksha,0,10th Pass,46,606005,0,No,COIMBATORE,TAMIL NADU,,2024,Lok Sabha,No Comment
